네트워크 시뮬레이션 시작: round robin, constant (동적 라우팅 포함)

요청 1: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → 10.1.2.0는 Router1에서 도달 불가
요청 2: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → 10.1.2.0는 Router1에서 도달 불가
요청 3: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → 10.1.2.0는 Router1에서 도달 불가
요청 4: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → 10.1.2.0는 Router1에서 도달 불가
요청 45: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:6666, 응답 시간=0.0007초
요청 46: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:7777, 응답 시간=0.4117초
요청 47: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:8888, 응답 시간=0.2059초
요청 48: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:9999, 응답 시간=0.1060초
요청 49: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:6666, 응답 시간=0.0009초
요청 50: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:7777, 응답 시간=0.4120초
요청 51: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:8888, 응답 시간=0.2052초
요청 52: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:9999, 응답 시간=0.1008초
요청 53: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:6666, 응답 시간=0.0007초
요청 54: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:7777, 응답 시간=0.4122초
요청 55: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:8888, 응답 시간=0.2060초
요청 56: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:9999, 응답 시간=0.1036초
요청 57: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:6666, 응답 시간=0.0007초
요청 58: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:7777, 응답 시간=0.4119초
요청 59: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:8888, 응답 시간=0.2059초
요청 60: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:9999, 응답 시간=0.1053초
요청 61: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:6666, 응답 시간=0.0006초
요청 62: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:7777, 응답 시간=0.4117초
요청 63: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:8888, 응답 시간=0.2058초
요청 64: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:9999, 응답 시간=0.1056초
